COUNTRY,HDI_SCORE,SCORE
BJ,0.504,0.211243611584327
GM,0.495,0.195911413969336
ER,0.493,0.192504258943782
ET,0.492,0.190800681431005
LR,0.487,0.182282793867121
MG,0.487,0.182282793867121
GW,0.483,0.175468483816014
CD,0.481,0.17206132879046
GN,0.471,0.155025553662692
AF,0.462,0.1396933560477
MZ,0.461,0.137989778534923
SL,0.458,0.132879045996593
BF,0.438,0.0988074957410562
YE,0.424,0.0749574105621806
BI,0.42,0.0681431005110732
ML,0.41,0.0511073253833049
TD,0.394,0.0238500851788757
NE,0.394,0.0238500851788757
CF,0.387,0.0119250425894378
SS,0.381,0.00170357751277683
SO,0.38,0
